Epoch	Train PPL	Valid PPL
1	1.22	558.22
2	1.20	483.56
3	1.20	455.78
4	1.20	441.60
5	1.20	433.34
6	1.20	428.21
7	1.19	424.92
8	1.19	422.76
9	1.19	421.33
10	1.19	420.39
11	1.19	419.79
12	1.19	419.43
13	1.19	419.24
14	1.19	419.19
15	1.19	419.23
16	1.19	419.34
17	1.19	419.51
18	1.19	419.72
19	1.19	419.97
20	1.19	420.23
21	1.19	420.52
22	1.19	420.82
23	1.19	421.13
24	1.19	421.45
25	1.19	421.78
26	1.19	422.11
27	1.19	422.44
28	1.19	422.77
29	1.19	423.10
30	1.19	423.43
31	1.19	423.76
32	1.19	424.09
33	1.19	424.41
34	1.19	424.74
35	1.19	425.06
36	1.19	425.38
37	1.19	425.69
38	1.19	426.00
39	1.19	426.31
40	1.19	426.61
