Epoch	Train PPL	Valid PPL
1	1.23	535.87
2	1.20	546.25
3	1.20	433.54
4	1.20	370.22
5	1.19	323.07
6	1.18	300.39
7	1.18	255.60
8	1.17	208.94
9	1.17	204.93
10	1.17	167.92
11	1.16	145.10
12	1.16	126.67
13	1.15	114.48
14	1.15	97.21
15	1.14	90.71
16	1.14	80.80
17	1.13	70.42
18	1.13	64.84
19	1.13	58.29
20	1.12	53.21
21	1.12	48.00
22	1.12	45.35
23	1.11	40.97
24	1.11	38.85
25	1.11	36.06
26	1.11	33.04
27	1.10	31.70
28	1.10	27.99
29	1.10	25.62
30	1.09	25.32
31	1.09	23.26
32	1.09	21.52
33	1.09	22.00
34	1.08	18.52
35	1.08	18.65
36	1.08	16.59
37	1.08	15.82
38	1.08	15.26
39	1.07	14.27
40	1.07	13.24
