Epoch	Train PPL	Valid PPL
1	1.23	618.19
2	1.20	483.87
3	1.20	515.93
4	1.19	338.68
5	1.19	316.34
6	1.18	293.34
7	1.18	254.42
8	1.17	226.31
9	1.17	193.10
10	1.16	168.30
11	1.16	145.30
12	1.15	118.27
13	1.14	101.68
14	1.13	84.05
15	1.13	78.52
16	1.12	68.03
17	1.11	55.04
18	1.10	45.90
19	1.10	38.06
20	1.09	34.01
21	1.08	27.43
22	1.07	23.84
23	1.07	20.23
24	1.06	18.27
25	1.05	17.13
26	1.05	15.36
27	1.04	13.13
28	1.04	11.99
29	1.03	10.99
30	1.03	10.51
31	1.02	9.57
32	1.02	8.19
33	1.02	7.28
34	1.01	7.03
35	1.01	6.91
36	1.01	6.58
37	1.01	6.78
38	1.01	6.09
39	1.01	6.13
40	1.01	6.00
